name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Ciryl Gane,Heavyweight Division13-2-0 (W-L-D),13-2-0,https://www.ufc.com/athlete/ciryl-gane,,,,,,,,2025-07-14T01:40:43.984291
Alexander Volkov,Heavyweight Division38-11-0 (W-L-D),38-11-0,https://www.ufc.com/athlete/alexander-volkov,,,,,,,,2025-07-14T01:40:45.153704
Sergei Pavlovich,Heavyweight Division19-3-0 (W-L-D),19-3-0,https://www.ufc.com/athlete/sergei-pavlovich,,,,,,,,2025-07-14T01:40:46.283259
Curtis Blaydes,Heavyweight Division19-5-0 (W-L-D),19-5-0,https://www.ufc.com/athlete/curtis-blaydes,,,,,,,,2025-07-14T01:40:47.388073
Jailton Almeida,Heavyweight Division22-3-0 (W-L-D),22-3-0,https://www.ufc.com/athlete/jailton-almeida,,,,,,,,2025-07-14T01:40:48.479451
Waldo Cortes Acosta,Heavyweight Division14-1-0 (W-L-D),14-1-0,https://www.ufc.com/athlete/waldo-cortes-acosta,,,,,,,,2025-07-14T01:40:49.565414
Marcin Tybura,Heavyweight Division27-9-0 (W-L-D),27-9-0,https://www.ufc.com/athlete/marcin-tybura,,,,,,,,2025-07-14T01:40:50.677168
Serghei Spivac,Heavyweight Division17-6-0 (W-L-D),17-6-0,https://www.ufc.com/athlete/serghei-spivac,,,,,,,,2025-07-14T01:40:51.784818
Derrick Lewis,Heavyweight Division29-12-0 (W-L-D),29-12-0,https://www.ufc.com/athlete/derrick-lewis,,,,,,,,2025-07-14T01:40:52.868501
Tai Tuivasa,Heavyweight Division15-8-0 (W-L-D),15-8-0,https://www.ufc.com/athlete/tai-tuivasa,,,,,,,,2025-07-14T01:40:54.019667
Shamil Gaziev,Heavyweight Division14-1-0 (W-L-D),14-1-0,https://www.ufc.com/athlete/shamil-gaziev,,,,,,,,2025-07-14T01:40:55.145853
Mick Parkin,Heavyweight Division10-1-0 (W-L-D),10-1-0,https://www.ufc.com/athlete/mick-parkin,,,,,,,,2025-07-14T01:40:56.276620
Tallison Teixeira,Heavyweight Division8-0-0 (W-L-D),8-0-0,https://www.ufc.com/athlete/tallison-teixeira,,,,,,,,2025-07-14T01:40:57.371797
Martin Buday,Heavyweight Division15-2-0 (W-L-D),15-2-0,https://www.ufc.com/athlete/martin-buday,,,,,,,,2025-07-14T01:40:58.472361
Rizvan Kuniev,Heavyweight Division12-3-1 (W-L-D),12-3-1,https://www.ufc.com/athlete/rizvan-kuniev,,,,,,,,2025-07-14T01:40:59.575587
Valentina Shevchenko,Women's Flyweight Division25-4-1 (W-L-D),25-4-1,https://www.ufc.com/athlete/valentina-shevchenko,,,,,,,,2025-07-14T01:41:00.684027
Zhang Weili,Women's Strawweight Division26-3-0 (W-L-D),26-3-0,https://www.ufc.com/athlete/weili-zhang,,,,,,,,2025-07-14T01:41:01.807437
Kayla Harrison,Women's Bantamweight Division19-1-0 (W-L-D),19-1-0,https://www.ufc.com/athlete/kayla-harrison,,,,,,,,2025-07-14T01:41:02.932329
Manon Fiorot,Women's Flyweight Division12-2-0 (W-L-D),12-2-0,https://www.ufc.com/athlete/manon-fiorot,,,,,,,,2025-07-14T01:41:04.032130
Julianna Peña,Women's Bantamweight Division13-6-0 (W-L-D),13-6-0,https://www.ufc.com/athlete/julianna-pena,,,,,,,,2025-07-14T01:41:05.150971
Natalia Silva,Women's Flyweight Division19-5-1 (W-L-D),19-5-1,https://www.ufc.com/athlete/natalia-silva,,,,,,,,2025-07-14T01:41:06.231977
Alexa Grasso,Women's Flyweight Division16-5-1 (W-L-D),16-5-1,https://www.ufc.com/athlete/alexa-grasso,,,,,,,,2025-07-14T01:41:07.367120
Erin Blanchfield,Women's Flyweight Division13-2-0 (W-L-D),13-2-0,https://www.ufc.com/athlete/erin-blanchfield,,,,,,,,2025-07-14T01:41:08.591168
Virna Jandiroba,Women's Strawweight Division22-3-0 (W-L-D),22-3-0,https://www.ufc.com/athlete/virna-jandiroba,,,,,,,,2025-07-14T01:41:09.722993
Raquel Pennington,Women's Bantamweight Division16-10-0 (W-L-D),16-10-0,https://www.ufc.com/athlete/raquel-pennington,,,,,,,,2025-07-14T01:41:10.817912
Tatiana Suarez,Women's Strawweight Division11-1-0 (W-L-D),11-1-0,https://www.ufc.com/athlete/tatiana-suarez,,,,,,,,2025-07-14T01:41:11.970494
Rose Namajunas,Women's Flyweight Division15-7-0 (W-L-D),15-7-0,https://www.ufc.com/athlete/rose-namajunas,,,,,,,,2025-07-14T01:41:13.095379
Yan Xiaonan,Women's Strawweight Division19-5-0 (W-L-D),19-5-0,https://www.ufc.com/athlete/xiaonan-yan,,,,,,,,2025-07-14T01:41:14.220745
Amanda Lemos,Women's Strawweight Division15-4-1 (W-L-D),15-4-1,https://www.ufc.com/athlete/amanda-lemos,,,,,,,,2025-07-14T01:41:15.329256
Maycee Barber,Women's Flyweight Division14-2-0 (W-L-D),14-2-0,https://www.ufc.com/athlete/maycee-barber,,,,,,,,2025-07-14T01:41:16.486465
Virna Jandiroba,Women's Strawweight Division22-3-0 (W-L-D),22-3-0,https://www.ufc.com/athlete/virna-jandiroba,,,,,,,,2025-07-14T01:41:17.564176
Tatiana Suarez,Women's Strawweight Division11-1-0 (W-L-D),11-1-0,https://www.ufc.com/athlete/tatiana-suarez,,,,,,,,2025-07-14T01:41:18.701788
Yan Xiaonan,Women's Strawweight Division19-5-0 (W-L-D),19-5-0,https://www.ufc.com/athlete/xiaonan-yan,,,,,,,,2025-07-14T01:41:19.880043
Amanda Lemos,Women's Strawweight Division15-4-1 (W-L-D),15-4-1,https://www.ufc.com/athlete/amanda-lemos,,,,,,,,2025-07-14T01:41:20.989547
Jéssica Andrade,Women's Strawweight Division26-14-0 (W-L-D),26-14-0,https://www.ufc.com/athlete/jessica-andrade,,,,,,,,2025-07-14T01:41:22.117523
Mackenzie Dern,Women's Strawweight Division15-5-0 (W-L-D),15-5-0,https://www.ufc.com/athlete/mackenzie-dern,,,,,,,,2025-07-14T01:41:23.330046
Amanda Ribas,Women's Strawweight Division12-6-0 (W-L-D),12-6-0,https://www.ufc.com/athlete/amanda-ribas,,,,,,,,2025-07-14T01:41:24.613537
Iasmin Lucindo,Women's Strawweight Division17-6-0 (W-L-D),17-6-0,https://www.ufc.com/athlete/iasmin-lucindo,,,,,,,,2025-07-14T01:41:25.779374
Gillian Robertson,Women's Strawweight Division16-8-0 (W-L-D),16-8-0,https://www.ufc.com/athlete/gillian-robertson,,,,,,,,2025-07-14T01:41:26.947451
Tabatha Ricci,Women's Strawweight Division11-3-0 (W-L-D),11-3-0,https://www.ufc.com/athlete/tabatha-ricci,,,,,,,,2025-07-14T01:41:28.041301
Loopy Godinez,Women's Strawweight Division13-5-0 (W-L-D),13-5-0,https://www.ufc.com/athlete/loopy-godinez,,,,,,,,2025-07-14T01:41:29.152535
Angela Hill,Women's Strawweight Division18-14-0 (W-L-D),18-14-0,https://www.ufc.com/athlete/angela-hill,,,,,,,,2025-07-14T01:41:30.290922
