name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Tabatha Ricci,Women's Strawweight Division11-3-0 (W-L-D),11-3-0,https://www.ufc.com/athlete/tabatha-ricci,,,,,,,,2025-07-23T14:42:59.463753
Loopy Godinez,Women's Strawweight Division13-5-0 (W-L-D),13-5-0,https://www.ufc.com/athlete/loopy-godinez,,,,,,,,2025-07-23T14:43:00.541466
Angela Hill,Women's Strawweight Division18-14-0 (W-L-D),18-14-0,https://www.ufc.com/athlete/angela-hill,,,,,,,,2025-07-23T14:43:01.676113
Tecia Pennington,Women's Strawweight Division15-7-0 (W-L-D),15-7-0,https://www.ufc.com/athlete/tecia-pennington,,,,,,,,2025-07-23T14:43:02.815347
Loma Lookboonmee,Women's Strawweight Division10-3-0 (W-L-D),10-3-0,https://www.ufc.com/athlete/loma-lookboonmee,,,,,,,,2025-07-23T14:43:04.008191
Denise Gomes,Women's Strawweight Division11-3-0 (W-L-D),11-3-0,https://www.ufc.com/athlete/denise-gomes,,,,,,,,2025-07-23T14:43:05.138980
Jasmine Jasudavicius,Women's Flyweight Division14-3-0 (W-L-D),14-3-0,https://www.ufc.com/athlete/jasmine-jasudavicius,,,,,,,,2025-07-23T14:43:06.272962
Tracy Cortez,Women's Flyweight Division12-2-0 (W-L-D),12-2-0,https://www.ufc.com/athlete/tracy-cortez,,,,,,,,2025-07-23T14:43:07.395224
Miranda Maverick,Women's Flyweight Division17-6-0 (W-L-D),17-6-0,https://www.ufc.com/athlete/miranda-maverick,,,,,,,,2025-07-23T14:43:08.514885
Karine Silva,Women's Flyweight Division18-5-0 (W-L-D),18-5-0,https://www.ufc.com/athlete/karine-silva,,,,,,,,2025-07-23T14:43:09.663013
Casey O'Neill,Women's Flyweight Division10-2-0 (W-L-D),10-2-0,https://www.ufc.com/athlete/casey-oneill,,,,,,,,2025-07-23T14:43:10.832747
Wang Cong,Women's Flyweight Division8-1-0 (W-L-D),8-1-0,https://www.ufc.com/athlete/wang-cong,,,,,,,,2025-07-23T14:43:11.943313
JJ Aldrich,Women's Flyweight Division14-7-0 (W-L-D),14-7-0,https://www.ufc.com/athlete/jj-aldrich,,,,,,,,2025-07-23T14:43:13.019308
Eduarda Moura,Women's Flyweight Division12-1-0 (W-L-D),12-1-0,https://www.ufc.com/athlete/eduarda-moura,,,,,,,,2025-07-23T14:43:14.117582
Ketlen Vieira,Women's Featherweight Division15-4-0 (W-L-D),15-4-0,https://www.ufc.com/athlete/ketlen-vieira,,,,,,,,2025-07-23T14:43:15.229228
Norma Dumont,Women's Bantamweight Division12-2-0 (W-L-D),12-2-0,https://www.ufc.com/athlete/norma-dumont,,,,,,,,2025-07-23T14:43:16.351700
Macy Chiasson,Women's Featherweight Division11-4-0 (W-L-D),11-4-0,https://www.ufc.com/athlete/macy-chiasson,,,,,,,,2025-07-23T14:43:17.472127
Irene Aldana,Women's Bantamweight Division15-8-0 (W-L-D),15-8-0,https://www.ufc.com/athlete/irene-aldana,,,,,,,,2025-07-23T14:43:18.597016
Ailin Perez,Women's Bantamweight Division12-2-0 (W-L-D),12-2-0,https://www.ufc.com/athlete/ailin-perez,,,,,,,,2025-07-23T14:43:19.707774
Mayra Bueno Silva,Women's Flyweight Division10-5-1 (W-L-D),10-5-1,https://www.ufc.com/athlete/mayra-bueno-silva,,,,,,,,2025-07-23T14:43:20.838492
